district,code,name,region,grades,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
Gaston County Schools,360332,Bessemer City Central Elem,Southwest,03-05,Y,60.2,D,Not Met,33.1,N/A
Thomasville City Schools,292316,Liberty Drive Elementary,Piedmont-Triad,04-05,Y,60.2,D,Not Met,29.8,N/A
Wake County Schools,920440,Green Elementary,North Central,PK-05,Y,60.2,D,Met,44.4,N/A
Wake County Schools,920601,Wendell Middle,North Central,06-08,N,60.2,D,Not Met,44.2,N/A
Cumberland County Schools,260425,South View Middle,Sandhills,06-08,Y,60.3,D,Not Met,40.4,N/A
Edgecombe County Public School,330304,G W Bulluck Elementary,North Central,PK-05,Y,60.3,D,Met,41.4,N/A
Alamance-Burlington Schools,010326,Eastlawn Elementary,Piedmont-Triad,PK-05,Y,60.5,D,Met,36,N/A
Rowan-Salisbury Schools,800328,Corriher Lipe Middle,Southwest,06-08,N,60.6,D,Not Met,43.7,N/A
Wake County Schools,920320,Aversboro Elementary,North Central,PK-05,Y,60.8,D,Not Met,43.7,N/A
Alamance-Burlington Schools,010351,Grove Park Elementary,Piedmont-Triad,PK-05,Y,60.9,D,Met,35.3,N/A
Gaston County Schools,360526,York Chester Middle,Southwest,06-08,Y,60.9,D,Met,45.5,N/A
Guilford County Schools,410538,Sedgefield Elementary,Piedmont-Triad,PK-05,Y,60.9,D,Not Met,38.6,N/A
Lexington City Schools,291332,Lexington Middle School,Piedmont-Triad,06-08,Y,60.9,D,Exceeded,43.3,N/A
Wake County Schools,920413,Forestville Road Elementary,North Central,PK-05,Y,60.9,D,Not Met,40.8,N/A
Gaston County Schools,360338,Bessemer City Primary,Southwest,PK-02,Y,61,D,N/A,N/A,N/A
Charter Schools,42A000,KIPP Halifax College Prep,Northeast,0K-08,Y,61.2,D,Met,44.4,N/A
Edgecombe County Public School,330312,Coker-Wimberly Elementary,North Central,PK-05,Y,61.2,D,Met,32,N/A
Halifax County Schools,420376,William R Davie Middle S.T.E.M. Academy,Northeast,06-08,Y,61.5,D,Met,39.2,N/A
Rowan-Salisbury Schools,800359,Dole Elementary,Southwest,PK-05,Y,61.6,D,Met,28.6,N/A
Charlotte-Mecklenburg Schools,600366,Marie G Davis,Southwest,0K-08,Y,61.7,D,Not Met,37.7,N/A
Charter Schools,41H000,College Prep and Leadership Academy,Piedmont-Triad,0K-12,Y,62,D,Not Met,46.4,N/A
Mount Airy City Schools,862308,Bruce H Tharrington Primary,Piedmont-Triad,PK-02,Y,62.1,D,N/A,N/A,N/A
Onslow County Schools,670308,Blue Creek Elementary,Southeast,0K-05,Y,62.1,D,Met,44.4,N/A
Alamance-Burlington Schools,010392,Sylvan Elementary,Piedmont-Triad,PK-05,Y,62.3,D,Met,43.8,N/A
Rowan-Salisbury Schools,800398,Southeast Middle,Southwest,06-08,N,62.4,D,Not Met,39.6,N/A
Iredell-Statesville Schools,490354,Statesville High,Southwest,09-12,N,62.5,D,Not Met,27.8,82.9
Rockingham County Schools,790344,Leaksville-Spray Elementary,Piedmont-Triad,PK-05,Y,62.8,D,Not Met,48.7,N/A
Union County Public Schools,900306,East Elementary,Southwest,PK-05,Y,62.8,D,Exceeded,37.3,N/A
Person County Schools,730356,South Elementary,North Central,PK-05,Y,62.9,D,Met,37.6,N/A
Randolph County Schools,760324,Franklinville Elementary,Piedmont-Triad,0K-05,Y,62.9,D,Not Met,50,N/A
Charlotte-Mecklenburg Schools,600565,University Park Creative Arts,Southwest,0K-05,Y,63,D,Not Met,46.4,N/A
Charlotte-Mecklenburg Schools,600589,Winterfield Elementary,Southwest,PK-05,Y,63.1,D,Met,36.2,N/A
Cumberland County Schools,260336,Anne Chesnutt Middle,Sandhills,06-08,N,63.1,D,Not Met,39.2,N/A
Forsyth County Schools,340314,Bolton Elementary,Piedmont-Triad,PK-05,Y,63.1,D,Met,36.3,N/A
Alamance-Burlington Schools,010364,North Graham Elementary,Piedmont-Triad,PK-05,Y,63.2,D,Met,42.3,N/A
Gaston County Schools,360492,H H Beam Elementary,Southwest,PK-05,Y,63.2,D,Not Met,33.4,N/A
Johnston County Schools,510310,Benson Middle,North Central,05-08,Y,63.2,D,Met,39.5,N/A
Warren County Schools,930354,Warren County Middle,North Central,06-08,Y,63.2,D,Not Met,35.6,N/A
Wake County Schools,920480,Lockhart Elementary,North Central,PK-05,Y,63.4,D,Not Met,45.3,N/A
Charlotte-Mecklenburg Schools,600414,Highland Renaissance Academy,Southwest,PK-05,Y,63.5,D,Not Met,39.6,N/A
Forsyth County Schools,340380,Gibson Elementary,Piedmont-Triad,PK-05,Y,63.5,D,Exceeded,43.5,N/A
Wake County Schools,920618,Wildwood Forest Elementary,North Central,PK-05,Y,63.5,D,Not Met,42.5,N/A
Washington County Schools,940328,Washington County Middle,Northeast,06-08,Y,63.5,D,Exceeded,38.1,N/A
Gaston County Schools,360336,Bessemer City High,Southwest,09-12,N,63.6,D,Not Met,26.8,77.6
Weldon City Schools,422315,Weldon STEM High School Career Academies,Northeast,09-12,Y,63.7,D,Not Met,12.4,68.9
Guilford County Schools,410577,Sumner Elementary,Piedmont-Triad,PK-05,Y,63.8,D,Not Met,44,N/A
Northampton County Schools,660336,Northampton County High School,Northeast,09-12,Y,63.8,D,Not Met,7,71.8
Rowan-Salisbury Schools,800396,Salisbury High,Southwest,09-12,N,63.8,D,Not Met,29,77.8
Buncombe County Schools,110410,Avery's Creek Elementary,Western,0K-04,Y,63.9,D,Met,48.5,N/A
Guilford County Schools,410505,Oak View Elementary,Piedmont-Triad,PK-05,Y,64,D,Not Met,37.2,N/A
Mount Airy City Schools,862310,Jones Intermediate,Piedmont-Triad,03-05,Y,64.1,D,Not Met,49.9,N/A
Wake County Schools,920332,Beaverdam Elementary,North Central,PK-05,Y,64.1,D,Not Met,43.8,N/A
Halifax County Schools,420358,Southeast Halifax Collegiate Prep Academ,Northeast,09-12,Y,64.2,D,Met,11.2,74.7
Iredell-Statesville Schools,490319,Cloverleaf Elementary,Southwest,PK-05,Y,64.2,D,Met,37.1,N/A
Forsyth County Schools,340390,Hall-Woodward Elementary,Piedmont-Triad,PK-05,Y,64.3,D,Met,34,N/A
Gaston County Schools,360392,Edward D Sadler Jr Elementary School,Southwest,PK-05,Y,64.3,D,Met,42.2,N/A
Guilford County Schools,410462,Ronald E. McNair Elementary,Piedmont-Triad,PK-05,Y,64.4,D,Not Met,41.8,N/A
Martin County Schools,580308,Williamston Primary,Northeast,PK-02,Y,64.5,D,N/A,N/A,N/A
Charlotte-Mecklenburg Schools,600593,Villa Heights Elementary,Southwest,0K-05,Y,64.7,D,Exceeded,43.8,N/A
Moore County Schools,630350,Southern Middle,Sandhills,06-08,Y,64.8,D,Met,43.4,N/A
Alamance-Burlington Schools,010394,Turrentine Middle,Piedmont-Triad,06-08,Y,65,D,Not Met,41.5,N/A
Charter Schools,93A000,Haliwa-Saponi Tribal School,North Central,0K-12,Y,65,D,Met,31,N/A
Granville County Schools,390360,Stovall-Shaw Elementary,North Central,PK-05,Y,65,D,Not Met,47.1,N/A
Cabarrus County Schools,130329,Rocky River Elementary,Southwest,PK-05,Y,65.2,D,Met,44.4,N/A
Edgecombe County Public School,330344,W A Pattillo Middle,North Central,06-08,Y,65.3,D,Exceeded,32.4,N/A
Vance County Schools,910346,E O Young Jr Elementary,North Central,PK-05,Y,65.3,D,Met,37.6,N/A
Wayne County Public Schools,960331,Eastern Wayne Middle,Southeast,06-08,Y,65.3,D,Met,41.2,N/A
Durham Public Schools,320315,Eno Valley Elementary,North Central,PK-05,Y,65.4,D,Exceeded,37.1,N/A
Harnett County Schools,430376,South Harnett Elementary,North Central,03-05,Y,65.4,D,Met,47.9,N/A
Wake County Schools,920632,Zebulon Elementary,North Central,PK-05,Y,65.4,D,Not Met,38.2,N/A
Cumberland County Schools,260310,Loyd E Auman Elementary,Sandhills,PK-05,Y,65.5,D,Met,40.7,N/A
Charlotte-Mecklenburg Schools,600412,Hidden Valley Elementary,Southwest,PK-05,Y,65.6,D,Met,44.1,N/A
Clinton City Schools,821320,Sampson Middle,Sandhills,06-08,Y,65.6,D,Not Met,49.7,N/A
Lincoln County Schools,550312,Battleground Elementary,Southwest,PK-05,Y,65.6,D,Met,44.3,N/A
Caswell County Schools,170338,N L Dillard Middle,Piedmont-Triad,06-08,Y,66,D,Not Met,36.6,N/A
Johnston County Schools,510404,South Smithfield Elementary,North Central,PK-05,Y,66.1,D,Not Met,34.8,N/A
Randolph County Schools,760332,Liberty Elementary,Piedmont-Triad,PK-05,Y,66.1,D,Met,39.4,N/A
Hertford County Schools,460332,Riverview Elementary,Northeast,PK-05,Y,66.3,D,Not Met,48.6,N/A
Wake County Schools,920549,River Bend Middle,North Central,06-08,Y,66.3,D,Not Met,41.6,N/A
Guilford County Schools,410415,Jackson Middle,Piedmont-Triad,06-08,Y,66.4,D,Met,36.4,N/A
Lee County Schools,530314,East Lee Middle,North Central,06-08,N,66.6,D,Not Met,49.1,N/A
Forsyth County Schools,340430,Diggs-Latham Elementary,Piedmont-Triad,PK-05,Y,66.7,D,Not Met,35.4,N/A
Cumberland County Schools,260401,Morganton Road Elementary,Sandhills,0K-05,Y,66.8,D,Not Met,44.5,N/A
Pasquotank County Schools,700308,Elizabeth City Middle,Northeast,06-08,Y,67,D,Not Met,41.2,N/A
Craven County Schools,250332,H J MacDonald Middle,Southeast,06-08,N,67.1,D,Not Met,48.4,N/A
Charter Schools,41L000,Gate City Charter,Piedmont-Triad,0K-07,Y,67.2,D,Met,43.6,N/A
Forsyth County Schools,340548,Ward Elementary,Piedmont-Triad,PK-05,Y,67.2,D,Met,44,N/A
Guilford County Schools,410373,Julius I Foust Elementary,Piedmont-Triad,PK-05,Y,67.2,D,Met,38.4,N/A
Johnston County Schools,510388,Selma Elementary,North Central,PK-04,Y,67.2,D,Exceeded,37.9,N/A
Harnett County Schools,430340,Gentry Primary,North Central,0K-02,Y,67.3,D,N/A,N/A,N/A
Wayne County Public Schools,960380,Southern Wayne High,Southeast,09-12,N,67.3,D,Not Met,32.1,76.7
Caldwell County Schools,140388,Valmead Elementary,Northwest,PK-02,Y,67.5,D,N/A,N/A,N/A
Craven County Schools,250344,Havelock Middle,Southeast,06-08,N,67.5,D,Not Met,46.7,N/A
Charlotte-Mecklenburg Schools,600553,Thomasboro Academy,Southwest,0K-08,Y,67.7,D,Exceeded,30.5,N/A
Johnston County Schools,510308,Benson Elementary,North Central,PK-04,Y,67.7,D,Not Met,37.1,N/A
Guilford County Schools,410583,Vandalia Elementary,Piedmont-Triad,PK-05,Y,67.8,D,Met,31.9,N/A
Forsyth County Schools,340452,Mineral Springs Middle,Piedmont-Triad,06-08,Y,67.9,D,Met,35.3,N/A
Harnett County Schools,430332,Dunn Middle,North Central,06-08,N,67.9,D,Met,43.8,N/A
Guilford County Schools,410517,Peeler Open Elementary,Piedmont-Triad,0K-05,Y,68,D,Met,36.8,N/A
Caldwell County Schools,140392,West Lenoir Elementary,Northwest,03-05,Y,68.3,D,Met,32.7,N/A
Lexington City Schools,291348,South Lexington School,Piedmont-Triad,PK-0K,Y,68.3,D,N/A,N/A,N/A
Northampton County Schools,660360,Willis Hare Elementary,Northeast,PK-04,Y,68.3,D,Met,41.6,N/A
Buncombe County Schools,110342,Erwin Middle,Western,07-08,N,68.4,D,Not Met,45.8,N/A
Lee County Schools,530356,West Lee Middle,North Central,06-08,N,68.5,D,Not Met,48.5,N/A
Wilson County Schools,980400,Winstead Elementary,North Central,0K-05,Y,68.7,D,Exceeded,39.1,N/A
Cumberland County Schools,260414,Benjamin J Martin Elementary,Sandhills,PK-05,Y,68.8,D,Not Met,47.7,N/A
Bertie County Schools,080356,West Bertie Elementary,Northeast,PK-05,Y,68.9,D,Met,42.9,N/A
Wake County Schools,920408,East Millbrook Middle,North Central,06-08,Y,68.9,D,Met,43.4,N/A
Johnston County Schools,510343,Micro Elementary,North Central,PK-05,Y,69,D,Met,36,N/A
Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,Piedmont-Triad,PK-05,Y,69.1,D,Met,33.2,N/A
Forsyth County Schools,340330,Carver High,Piedmont-Triad,09-12,Y,69.2,D,Exceeded,24.3,67
Guilford County Schools,410376,Cyrus P Frazier Elementary,Piedmont-Triad,PK-05,Y,69.3,D,Met,44.4,N/A
Harnett County Schools,430316,Boone Trail Elementary,North Central,PK-05,Y,69.3,D,Not Met,46.7,N/A
Brunswick County Schools,100316,Leland Middle,Southeast,06-08,Y,69.4,D,Not Met,51.3,N/A
Randolph County Schools,760357,Southeastern Randolph Middle,Piedmont-Triad,06-08,N,69.4,D,Not Met,40.1,N/A
Charter Schools,32C000,Carter Community Charter,North Central,0K-08,Y,69.5,D,Met,33.1,N/A
Duplin County Schools,310304,B F Grady Elementary,Southeast,PK-08,Y,69.5,D,Met,43.2,N/A
Durham Public Schools,320310,Eastway Elementary,North Central,PK-05,Y,69.5,D,Exceeded,26.8,N/A
Granville County Schools,390309,Butner-Stem Middle,North Central,06-08,Y,69.6,D,Not Met,44.1,N/A
Hoke County Schools,470332,East Hoke Middle,Sandhills,06-08,Y,69.8,D,Not Met,46,N/A
Rowan-Salisbury Schools,800376,North Rowan High,Southwest,09-12,N,69.8,D,Not Met,20.6,83.8
Charter Schools,32B000,Healthy Start Academy,North Central,0K-08,Y,69.9,D,Exceeded,43.7,N/A
Charter Schools,32S000,KIPP Durham College Preparatory,North Central,05-08,Y,70.1,D,Exceeded,35.8,N/A
Greene County Schools,400312,Greene County Middle,Southeast,06-08,Y,70.1,D,Not Met,38.5,N/A
Orange County Schools,680312,Central Elementary,North Central,PK-05,Y,70.1,D,Exceeded,41.1,N/A
Gaston County Schools,360520,Woodhill Elementary,Southwest,PK-05,Y,70.2,D,Met,34.3,N/A
Durham Public Schools,320344,Fayetteville Street Elementary,North Central,PK-05,Y,70.3,D,Met,26.6,N/A
Guilford County Schools,410478,Murphey Traditional Academy,Piedmont-Triad,0K-05,Y,70.5,D,Met,34.1,N/A
Union County Public Schools,900308,East Union Middle,Southwest,06-08,N,70.5,D,Not Met,51.2,N/A
Wake County Schools,920599,Walnut Creek Elementary,North Central,PK-05,Y,70.5,D,Not Met,36.7,N/A
Durham Public Schools,320400,Y E Smith Elementary,North Central,PK-05,Y,70.6,D,Exceeded,32.5,N/A
Pitt County Schools,740352,Grifton,Northeast,PK-08,Y,70.6,D,Met,43.6,N/A
Johnston County Schools,510396,West Smithfield Elementary,North Central,PK-05,Y,70.7,D,Met,27.7,N/A
Guilford County Schools,410334,Brightwood Elementary,Piedmont-Triad,PK-05,Y,70.9,D,Met,40.4,N/A
Weldon City Schools,422318,Weldon Middle,Northeast,05-08,Y,70.9,D,Not Met,34.9,N/A
Forsyth County Schools,340376,Forest Park Elementary,Piedmont-Triad,PK-05,Y,71,D,Met,29.4,N/A
Hyde County Schools,480306,Mattamuskeet Elementary,Northeast,PK-05,Y,71,D,Met,43.8,N/A
Washington County Schools,940314,Pines Elementary,Northeast,PK-05,Y,71.3,D,Not Met,37.8,N/A
Cumberland County Schools,260322,Douglas Byrd High,Sandhills,09-12,Y,71.4,D,Not Met,29.1,73.7
Guilford County Schools,410532,Rankin Elementary,Piedmont-Triad,PK-05,Y,71.4,D,Met,35.9,N/A
Person County Schools,730344,Northern Middle,North Central,06-08,N,71.4,D,Not Met,47.3,N/A
Wake County Schools,920410,East Wake Middle,North Central,06-08,Y,71.4,D,Met,37.5,N/A
Edgecombe County Public School,330334,Princeville Elementary,North Central,PK-05,Y,71.7,D,Met,31.9,N/A
Greene County Schools,400321,Snow Hill Primary,Southeast,0K-01,Y,71.8,D,N/A,N/A,N/A
Wake County Schools,920446,Hodge Road Elementary,North Central,PK-05,Y,71.9,D,Not Met,39.3,N/A
Cumberland County Schools,260404,William H Owen Elementary,Sandhills,PK-05,Y,72,D,Not Met,46.7,N/A
Granville County Schools,390311,Butner-Stem Elementary,North Central,PK-05,Y,72,D,Not Met,43.3,N/A
Halifax County Schools,420324,Enfield Middle S.T.E.A.M. Academy,Northeast,06-08,Y,72,D,Met,32.8,N/A
Cumberland County Schools,260396,Mary McArthur Elementary,Sandhills,PK-05,Y,72.1,D,Not Met,41.9,N/A
Guilford County Schools,410530,Reedy Fork Elementary,Piedmont-Triad,PK-05,Y,72.3,D,Not Met,46.2,N/A
Wake County Schools,920597,Wakelon Elementary,North Central,PK-05,Y,72.3,D,Not Met,50.2,N/A
Durham Public Schools,320362,Parkwood Elementary,North Central,PK-05,Y,72.5,D,Not Met,36.4,N/A
Cumberland County Schools,260428,Spring Lake Middle,Sandhills,06-08,Y,72.7,D,Not Met,37.6,N/A
Gaston County Schools,360438,Lingerfeldt Elementary,Southwest,PK-05,Y,72.8,D,Met,29.8,N/A
Charlotte-Mecklenburg Schools,600577,Westerly Hills Academy,Southwest,PK-05,Y,72.9,D,Met,41.8,N/A
Craven County Schools,250376,West Craven Middle,Southeast,06-08,N,72.9,D,Not Met,38.7,N/A
Cumberland County Schools,260440,Sunnyside Elementary,Sandhills,0K-05,Y,73.1,D,Met,37.2,N/A
Wayne County Public Schools,960329,Eastern Wayne Elementary,Southeast,PK-05,Y,73.1,D,Met,41.6,N/A
Cumberland County Schools,260402,Manchester Elementary,Sandhills,PK-05,Y,73.2,D,Met,42.7,N/A
Iredell-Statesville Schools,490327,East Iredell Middle,Southwest,06-08,N,73.3,D,Exceeded,39,N/A
Onslow County Schools,670312,Clyde Erwin Elementary,Southeast,0K-05,Y,73.3,D,Met,36.6,N/A
Harnett County Schools,430308,Angier Elementary,North Central,PK-05,Y,73.5,D,Exceeded,41.9,N/A
Newton Conover City Schools,182328,North Newton Elementary,Northwest,PK-05,Y,73.6,D,Not Met,43.3,N/A
Guilford County Schools,410586,Washington Elementary,Piedmont-Triad,PK-05,Y,73.8,D,Exceeded,30,N/A
Harnett County Schools,430368,North Harnett Primary,North Central,PK-02,Y,73.8,D,N/A,N/A,N/A
Charter Schools,06B000,Marjorie Williams Academy,Northwest,0K-12,Y,74.1,D,Met,43.2,N/A
Cumberland County Schools,260426,Sherwood Park Elementary,Sandhills,PK-05,Y,74.1,D,Met,38.3,N/A
Northampton County Schools,660320,Gaston Elementary,Northeast,PK-04,Y,74.1,D,Met,43.6,N/A
Charlotte-Mecklenburg Schools,600311,Ashley Park PreK-8 School,Southwest,PK-08,Y,74.2,D,Met,31.1,N/A
Durham Public Schools,320306,Brogden Middle,North Central,06-08,Y,74.2,D,Exceeded,40.2,N/A
Guilford County Schools,410331,Bluford Elementary,Piedmont-Triad,0K-05,Y,74.3,D,Met,30.8,N/A
Cumberland County Schools,260372,Lewis Chapel Middle,Sandhills,06-08,Y,74.4,D,Not Met,36.1,N/A
Pitt County Schools,740368,Lakeforest Elementary,Northeast,PK-05,Y,74.4,D,Not Met,43.2,N/A
Guilford County Schools,410439,Kirkman Park Elementary,Piedmont-Triad,PK-05,Y,74.5,D,Met,30.7,N/A
Robeson County Schools,780336,Littlefield Middle,Sandhills,04-08,Y,74.5,D,Not Met,46,N/A
Cleveland County Schools,230346,James Love Elementary,Southwest,PK-04,Y,74.6,D,Met,45.5,N/A
Duplin County Schools,310388,Wallace Elementary,Southeast,PK-08,Y,74.7,D,Not Met,39.4,N/A
Moore County Schools,630304,Aberdeen Primary,Sandhills,PK-02,Y,74.9,D,N/A,N/A,N/A
Wake County Schools,920616,Wilburn Elementary,North Central,PK-05,Y,74.9,D,Met,50.5,N/A
Vance County Schools,910340,New Hope Elementary,North Central,PK-05,Y,75.1,D,Met,47.3,N/A
Pitt County Schools,740310,Belvoir Elementary,Northeast,PK-05,Y,75.2,D,Met,42.2,N/A
Scotland County Schools,830304,Carver Middle,Sandhills,06-08,Y,75.2,D,Not Met,47.3,N/A
Columbus County Schools,240372,Tabor City Elementary,Sandhills,PK-05,Y,75.3,D,Not Met,47.1,N/A
Bladen County Schools,090332,Elizabethtown Middle,Sandhills,05-08,Y,75.5,D,Not Met,42,N/A
Wake County Schools,920496,Millbrook Elementary,North Central,PK-05,Y,75.5,D,Not Met,37.1,N/A
Cumberland County Schools,260321,Douglas Byrd Middle,Sandhills,06-08,Y,75.6,D,Not Met,34.2,N/A
Johnston County Schools,510408,Wilson's Mills Elementary,North Central,PK-05,Y,75.6,D,Met,41.9,N/A
Northampton County Schools,660306,Central Elementary,Northeast,PK-04,Y,75.8,D,Exceeded,46.3,N/A
Granville County Schools,390331,Mary Potter Middle,North Central,06-08,Y,76,D,Not Met,42.3,N/A
Gaston County Schools,360490,Sherwood Elementary,Southwest,PK-05,Y,76.1,D,Met,41.4,N/A
Greene County Schools,400332,West Greene Elementary,Southeast,02-03,Y,76.1,D,Not Met,43.3,N/A
Durham Public Schools,320355,Neal Middle,North Central,06-08,Y,76.2,D,Met,35.9,N/A
Granville County Schools,390316,Creedmoor Elementary,North Central,PK-05,Y,76.2,D,Met,41.5,N/A
Anson County Schools,040324,Morven Elementary,Southwest,0K-05,Y,76.3,D,Met,38.3,N/A
Guilford County Schools,410397,Western Guilford Middle,Piedmont-Triad,06-08,Y,76.4,D,Not Met,47.5,N/A
Guilford County Schools,410403,Hampton Elem Univ Partnership,Piedmont-Triad,PK-05,Y,76.4,D,Exceeded,39.4,N/A
Charter Schools,65G000,Girls Leadership Academy of Wilmington,Southeast,06-08,Y,76.5,D,Not Met,40.3,N/A
Scotland County Schools,830349,Spring Hill Middle,Sandhills,06-08,Y,76.5,D,Not Met,46.7,N/A
Vance County Schools,910360,E M Rollins Elementary,North Central,PK-05,Y,76.5,D,Not Met,35.4,N/A
Wake County Schools,920403,East Garner Elementary,North Central,PK-05,Y,76.5,D,Met,45.7,N/A
Pitt County Schools,740324,C M Eppes Middle,Northeast,06-08,Y,76.6,D,Not Met,43.4,N/A
Charter Schools,61T000,Movement Charter School,Southwest,0K-04,Y,76.8,D,Not Met,48.2,N/A
Charter Schools,64A000,Rocky Mount Preparatory,North Central,0K-12,Y,76.9,D,Met,33.5,83.3
Guilford County Schools,410364,Fairview Elementary,Piedmont-Triad,PK-05,Y,77.2,D,Exceeded,31,N/A
Guilford County Schools,410385,Gillespie Park Elementary,Piedmont-Triad,PK-05,Y,77.2,D,Met,29,N/A
Cumberland County Schools,260419,Reid Ross Classical Middle,Sandhills,06-08,N,77.3,D,Not Met,49.2,N/A
Pitt County Schools,740375,Northwest Elementary,Northeast,PK-05,Y,77.8,D,Met,35.3,N/A
Robeson County Schools,780393,Red Springs Middle,Sandhills,05-08,Y,77.8,D,Met,27.5,N/A
Bladen County Schools,090352,Plain View Primary,Sandhills,PK-04,Y,77.9,D,Met,43.2,N/A
Scotland County Schools,830328,Laurel Hill Elementary,Sandhills,PK-05,Y,77.9,D,Not Met,47.2,N/A
Guilford County Schools,410514,Clara J Peck Elementary,Piedmont-Triad,PK-05,Y,78,D,Met,36,N/A
Charlotte-Mecklenburg Schools,600517,Reid Park Academy,Southwest,PK-05,Y,78.1,D,Met,43.7,N/A
Guilford County Schools,410402,Otis L Hairston Sr Middle,Piedmont-Triad,06-08,Y,78.3,D,Met,29.4,N/A
Columbus County Schools,240376,Tabor City Middle,Sandhills,06-08,Y,78.4,D,Met,34.1,N/A
Robeson County Schools,780400,Saint Pauls Elementary,Sandhills,PK-05,Y,78.4,D,Not Met,34,N/A
Granville County Schools,390312,C. G. Credle Elementary,North Central,PK-05,Y,78.6,D,Met,45.8,N/A
Pitt County Schools,740400,Wahl Coates Elementary,Northeast,PK-05,Y,78.6,D,Met,42.6,N/A
Pitt County Schools,740334,Falkland Elementary,Northeast,0K-05,Y,78.7,D,Exceeded,35.1,N/A
Robeson County Schools,780403,Saint Pauls Middle,Sandhills,06-08,Y,78.8,D,Exceeded,39.2,N/A
Duplin County Schools,310384,Rose Hill-Magnolia Elementary,Southeast,PK-08,Y,78.9,D,Exceeded,40,N/A
Guilford County Schools,410366,Waldo C Falkener Sr Elementary,Piedmont-Triad,PK-05,Y,79,D,Not Met,35.1,N/A
Charter Schools,65B000,Wilmington Preparatory Academy,Southeast,0K-08,Y,79.3,D,Exceeded,42.3,N/A
Wayne County Public Schools,960316,Carver Elementary,Southeast,PK-04,Y,79.3,D,Met,42.5,N/A
Durham Public Schools,320360,Oak Grove Elementary,North Central,PK-05,Y,79.4,D,Not Met,43.4,N/A
Craven County Schools,250320,Vanceboro-Farm Life Elementary,Southeast,PK-05,Y,79.6,D,Not Met,45.6,N/A
Forsyth County Schools,340462,North Hills Elementary,Piedmont-Triad,PK-05,Y,79.7,D,Exceeded,32.9,N/A
Scotland County Schools,830364,Sycamore Lane Elementary,Sandhills,0K-05,Y,79.7,D,Not Met,30.6,N/A
New Hanover County Schools,650404,Wrightsboro Elementary,Southeast,PK-05,Y,79.9,D,Met,39.4,N/A
Durham Public Schools,320346,Lowe's Grove Middle,North Central,06-08,Y,80,D,Met,36.5,N/A
New Hanover County Schools,650392,Williston Middle,Southeast,06-08,Y,80,D,Not Met,36.1,N/A
Charlotte-Mecklenburg Schools,600574,Walter G Byers School,Southwest,PK-08,Y,80.1,D,Exceeded,40.2,N/A
Guilford County Schools,410542,George C Simkins Jr Elementary,Piedmont-Triad,PK-05,Y,80.3,D,Not Met,46.6,N/A
Craven County Schools,250360,Oaks Road Academy,Southeast,0K-05,Y,80.6,D,Met,32.6,N/A
Cumberland County Schools,260452,Westarea Elementary,Sandhills,PK-05,Y,80.8,D,Exceeded,40.6,N/A
Durham Public Schools,320338,James E Shepard Middle,North Central,06-08,Y,80.8,D,Not Met,33,N/A
Robeson County Schools,780360,Parkton Elementary,Sandhills,PK-08,Y,80.8,D,Not Met,33.3,N/A
Moore County Schools,630320,Elise Middle,Sandhills,06-08,Y,81,D,Met,41.5,N/A
Robeson County Schools,780374,Peterson Elementary,Sandhills,PK-04,Y,81,D,Not Met,38.7,N/A
Scotland County Schools,830360,Wagram Elementary,Sandhills,PK-05,Y,81,D,Not Met,43,N/A
Guilford County Schools,410328,Bessemer Elementary,Piedmont-Triad,PK-05,Y,81.3,D,Met,34.2,N/A
Johnston County Schools,510397,Smithfield Middle,North Central,06-08,Y,81.3,D,Not Met,41,N/A
Robeson County Schools,780392,Rex-Rennert Elementary,Sandhills,PK-05,Y,81.3,D,Met,22.7,N/A
Cumberland County Schools,260386,Margaret Willis Elementary,Sandhills,PK-05,Y,81.5,D,Not Met,39.2,N/A
Robeson County Schools,780412,Union Chapel Elementary,Sandhills,PK-06,Y,81.5,D,Not Met,37.6,N/A
Moore County Schools,630308,Aberdeen Elementary,Sandhills,03-05,Y,81.6,D,Not Met,35.1,N/A
Robeson County Schools,780330,L Gilbert Carroll Middle,Sandhills,04-06,Y,81.6,D,Not Met,43.4,N/A
Bladen County Schools,090328,East Arcadia Elementary,Sandhills,PK-04,Y,81.8,D,Met,37,N/A
Charter Schools,34F000,Forsyth Academy,Piedmont-Triad,0K-08,Y,81.9,D,Not Met,46.1,N/A
New Hanover County Schools,650328,Forest Hills Global Elementary,Southeast,0K-05,Y,81.9,D,Met,36.9,N/A
Lenoir County Public Schools,540326,Northwest Elementary,Southeast,0K-05,Y,82,D,Met,41.5,N/A
Columbus County Schools,240308,Acme Delco Elementary,Sandhills,PK-05,Y,82.1,D,Not Met,48,N/A
Guilford County Schools,410511,Parkview Village Elementary,Piedmont-Triad,PK-05,Y,82.1,D,Met,34.5,N/A
Wake County Schools,920547,Rogers Lane Elementary,North Central,PK-05,Y,82.1,D,Not Met,34.4,N/A
Burke County Schools,120354,Mountain View Elementary,Northwest,PK-05,Y,82.6,D,Not Met,44.4,N/A
Cumberland County Schools,260358,Luther Nick Jeralds Middle,Sandhills,06-08,Y,82.9,D,Not Met,39,N/A
Person County Schools,730334,North Elementary,North Central,0K-05,Y,83,D,Exceeded,36.8,N/A
